"rhr(rsat), created by Plot Digitizer, 2.6.8"
"Date: 7/2/18, 3:26:56 PM"


49
rsat,rhr
0.290899,0.361770,
0.291850,0.383485,
0.294526,0.477540,
0.286788,0.503813,
0.297451,0.530639,
0.281084,0.551833,
0.283087,0.578399,
0.290605,0.588264,
0.297947,0.627039,
0.283745,0.648297,
0.430959,0.650322,
0.429730,0.674381,
0.441372,0.718105,
0.430329,0.753916,
0.435257,0.833582,
0.448143,0.850837,
0.455441,0.896839,
0.443462,0.908527,
0.424024,0.900712,
0.423146,0.866951,
0.582236,0.874153,
0.562593,0.900067,
0.579823,0.915043,
0.571032,0.936465,
0.575142,0.972733,
0.558790,0.991517,
0.590265,0.978008,
0.603180,0.990445,
0.690266,0.911141,
0.683420,0.968766,
0.681051,1.00243,
0.691903,0.997936,
0.713550,0.998588,
0.717880,0.998719,
0.742043,0.941616,
0.779969,0.935530,
0.735213,0.818520,
0.765636,0.800160,
0.800550,0.755429,
0.804689,0.786878,
0.810276,0.758131,
0.818803,0.780075,
0.828676,0.758686,
0.870902,0.757548,
0.828253,0.650240,
0.811404,0.572625,
0.812706,0.536521,
0.850500,0.552117,
0.877121,0.446896,
