rsh, r_hr
0.0689655,0.46153816
0.116379,0.446153816
0.202586,0.553846184
0.262931,0.746153424
0.357759,0.684616049
0.448276,	1
0.448276,0.861538944
0.547414,0.846154601
0.560345,0.938460663
0.625,0.946153816
0.625,0.861538944
0.685345,0.92307632
0.762931,0.838461448
0.801724,0.792308417
0.788793,0.69230724
0.87931,0.584614872
0.0646552,0.21232826
0.0905172,0.342466357
0.172414,0.431506729
0.232759,0.59589058
0.297414,0.561644826
0.396552,0.69178116
0.383621,0.828767703
0.474138,0.945205383
0.5,0.890410766
0.538793,0.78767174
0.577586,0.821917494
0.616379,0.890410766
0.762931,	1
0.75,0.849314803
0.818965,0.746575777
0.853448,0.678082506
0.0606061,0.165467673
0.0909091,0.374100989
0.151515,0.453238312
0.212121,0.568345445
0.268398,0.611511087
0.34632,0.733814053
0.38961,0.841727224
0.320346,0.892086829
0.411255,0.935252471
0.47619,0.96403019
0.558442,	1
0.640693,0.985612076
0.675325,0.96403019
0.727273,0.971224152
0.787879,0.992806038
0.0681004,0.119047628
0.0860215,0.261904195
0.182796,0.410714188
0.333333,0.517857895
0.218638,0.690477193
0.354839,0.726191152
0.362007,0.827382532
0.483871,0.875001144
0.505376,0.827382532
0.544803,0.892858123
0.587814,	1
0.655914,0.946429062
0.731183,0.928572082
0.767025,0.803571396
0.845878,0.773809763
0.0695251,0.106793215
0.0912822,0.152623371
0.160807,0.25941719
0.221993,0.49659816
0.291368,0.542062676
0.361193,0.771512284
0.352685,0.832906385
0.422136,0.909036759
0.469435,0.778348161
0.508789,0.939036538
0.556557,	1
0.59949,0.854013688
0.703722,0.991204116
0.703497,0.899212576
0.764046,0.87575085
0.794629,0.990507851
